1:	INT. BARBIZON PLAZA THEATRE - DRESSING ROOM - NIGHT (1964):	['JAKE']
61:	INT. THE BEDROOM:	['JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'JAKE catches her.', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', "JAKE (CONT'D)", 'VICKIE', "VICKIE (CONT'D)", 'JAKE', 'VICKIE', 'JAKE is gone.']
62:	INT. JOEY'S PELHAM PARKWAY HOUSE - DAY:	['JOEY', "JOEY (CONT'D)", 'JAKE', 'JOEY', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE']
63:	EXT. JOEY'S PELHAM PARKWAY HOUSE - DAY:	None
64:	INT. JAKE'S PELHAM PARKWAY HOUSE - LIVING ROOM - EARLY:	['EVENING', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE']
65:	INT. STEAM BATH - NIGHT:	['TONY', 'JAKE', 'TONY', 'JAKE', 'TONY', 'JAKE', 'TONY', 'JAKE', 'TONY', 'JAKE']
66:	INT. JAKE'S PELHAM PARKWAY HOUSE - LIVING ROOM:	['VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'OK. Talk.', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE']
67:	INT. OLYMPIA STADIUM, DETROIT - NIGHT (SEPT.,):	['RINGSIDE ANNOUNCER', "RINGSIDE'ANNOUNCER", 'ANNOUNCER']
68:	INT. JAKE'S DRESSING ROOM - OLYMPIA STADIUM - NIGHT:	['JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'THE HALLWAY', 'JOEY (O.S.)', "JAKE can't answer.", "JOEY (O.S.) (CONT'D)", "JAKE can't answer.", "JOEY (O.S.) (CONT'D)"]
69:	INT. "JAKE LAMOTTA'S" - NIGHT (1956):	['JAKE', "JAKE (CONT'D)", 'JAKE sips his drink.', "JAKE(CONT'D)", "JAKE (CONT'D)"]
70:	INT. JOEY'S PELHAM PARKWAY HOUSE - LIVING ROOM - NIGHT (FEB.:	['LENORE', 'JOEY', 'PABST COMMERCIAL']
71:	INT. CHICAGO STADIUM - NIGHT:	['JAKE', 'TONY', 'ROBINSON nods.']
72:	INT. JOEY'S LIVING ROOM - NIGHT:	['TV ANNOUNCER', "TV ANNOUNCER (CONT'D)"]
73:	INT. CHICAGO STADIUM - NIGHT:	['JAKE', 'ROBINSON']
74:	EXT. JAKE'S MIAMI HOUSE - DAY (JUNE,):	None
75:	INT. JAKE'S MIAMI HOUSE - LIVING ROOM - DAY:	['JAKE', 'REPORTER', 'JAKE', 'REPORTER', 'JAKE', 'VICKIE poses dutifully.', "JAKE (CONT'D)", 'REPORTER', 'JAKE']
